Distance,Normalized signal
0.0,0.9557402396598377
0.0040000000000000036,0.9785465790490916
0.008000000000000007,0.9876304599922691
0.01200000000000001,0.9911093931194433
0.016000000000000014,0.9903362968689602
0.020000000000000018,0.9932354078082721
0.02400000000000002,0.9909161190568226
0.028000000000000025,0.9957479706223425
0.032,0.9897564746810977
0.036000000000000004,0.9936219559335137
0.04000000000000001,0.9943950521839969
0.04400000000000001,0.9959412446849633
0.048000000000000015,0.9992269037495168
0.05200000000000002,0.9969076149980672
0.05600000000000001,0.9918824893699265
0.06000000000000001,0.9965210668728257
0.06400000000000002,0.9949748743718592
0.06800000000000002,0.9965210668728257
0.07200000000000001,0.9943950521839969
0.07600000000000001,0.9943950521839969
0.08000000000000002,0.9936219559335137
0.08400000000000002,0.9928488596830305
0.08800000000000001,1.0
0.09200000000000001,0.9959412446849633
0.09600000000000002,0.9990336296868959
0.1,0.9909161190568226
0.10400000000000001,0.9893699265558561
0.10800000000000001,0.9899497487437185
0.11200000000000002,0.9911093931194433
0.11600000000000002,0.9901430228063393
0.12000000000000001,0.9907228449942017
0.12400000000000001,0.9909161190568226
0.128,0.9872439118670274
0.132,0.9914959412446849
0.136,0.9884035562427522
0.14,0.9860842674913027
0.14400000000000002,0.9864708156165441
0.14800000000000002,0.9845380749903362
0.15200000000000002,0.9804793196752994
0.156,0.9785465790490916
0.16,0.9793196752995748
0.164,0.9804793196752994
0.168,0.9764205643602629
0.17200000000000001,0.9696559721685349
0.17600000000000002,0.9655972168534982
0.18000000000000002,0.9634712021646695
0.18400000000000002,0.9476227290297642
0.188,0.9147661383842288
0.192,0.8631619636644762
0.196,0.8088519520680325
0.2,0.7576343254735215
0.20400000000000001,0.6795516041747197
0.20800000000000002,0.5950908388094317
0.21200000000000002,0.5077309625048319
0.21600000000000003,0.42442984151526864
0.22000000000000003,0.36006957866254347
0.224,0.27966756861229225
0.228,0.20448395825280247
0.232,0.16370313103981446
0.23600000000000002,0.13567839195979897
0.24000000000000002,0.10919984538074991
0.244,0.09798994974874373
0.248,0.07518361035948976
0.252,0.06841901816776189
0.256,0.0030923850019327404
0.26,0.0
0.264,0.010823347506764593
0.268,0.00019327406262079628
0.272,0.0005798221878623889
0.276,0.0
0.28,0.0
0.28400000000000003,0.0017394665635871666
0.28800000000000003,0.0
0.29200000000000004,0.0
0.29600000000000004,0.008117510630073443
0.30000000000000004,0.0
0.30400000000000005,0.0
0.30800000000000005,0.04870506378044066
0.312,0.0
0.316,0.0
0.32,0.011789717819868572
0.324,0.02280633938925396
0.328,0.04657904909161191
0.332,0.050637804406648626
0.336,0.07189795129493622
0.34,0.07305759567066099
0.344,0.09006571318129107
0.348,0.048898337843061454
0.352,0.04271356783919598
0.356,0.0
0.36,0.0
0.364,0.0
0.368,0.0
